gene_id	gene_symbol	mus48	mus47	mus54	mus28	mus52	mus38	mus51	mus39	mus24	mus42	mus57	mus08	mus32	mus23	mus45	mus15	mus36	mus44	mus41	mus46	mus49	mus35	mus05	mus43	mus53	mus12	mus04	mus02	mus01	mus40	mus09	mus58	mus20	mus11	mus50	mus25	mus34	mus21	mus59	mus22	mus03	mus07	mus55	mus29	mus27	mus06	mus10	mus17	mus16	mus31	mus13	mus56	mus37	mus60	mus30	mus18	mus14	mus26	mus33	mus19
68738	ACSS1	11	6	2	2	0	82	6	61	46	66	0	10	92	3	63	2	61	75	68	11	0	91	35	157	0	47	5	24	32	89	31	4	20	19	1	58	106	0	0	22	75	6	2	23	14	18	19	38	3	98	17	3	44	4	40	14	87	16	78	1
74451	PGS1	1	2	5	8	3	68	7	56	7	79	2	34	58	0	55	7	61	69	60	5	4	48	24	51	1	21	35	0	13	69	17	4	24	6	3	42	76	0	1	25	2	1	4	23	32	34	44	16	51	72	5	0	69	8	25	22	0	51	68	67
226791	LYPLAL1	6	1	5	18	2	67	1	59	14	102	0	24	70	12	60	80	76	95	92	1	5	66	10	128	6	6	4	0	16	75	29	3	8	16	2	14	100	24	8	17	53	20	2	45	6	58	4	6	65	53	67	1	64	5	19	31	106	21	80	10
380660	ACSS3	3	3	9	85	6	104	11	80	0	115	1	48	88	36	79	20	68	104	130	2	2	94	46	82	5	14	93	31	43	25	30	0	42	50	1	50	87	102	7	50	12	43	5	19	97	7	16	59	76	34	13	0	88	1	4	82	28	16	148	24
14081	ACSL1	6	5	9	10	1	101	3	86	15	74	1	21	83	26	104	65	86	86	53	0	5	65	13	52	4	16	22	7	0	128	14	0	48	19	1	27	110	6	7	11	110	22	0	1	72	1	74	21	1	74	20	0	91	7	14	1	26	17	46	1
66461	PTPMT1	3	1	0	3	2	81	4	78	27	57	5	26	107	9	79	5	104	74	101	4	4	84	61	89	1	22	12	21	8	88	42	4	7	4	6	31	60	17	2	70	60	6	1	3	25	36	75	4	43	92	63	5	83	0	13	24	77	4	63	6
20845	STAR	3	0	3	1	1	47	5	68	54	75	1	26	61	1	59	94	98	45	91	1	3	76	13	83	1	42	10	40	12	94	29	1	50	4	7	43	74	99	9	4	54	1	1	3	5	30	18	59	28	65	7	1	81	3	4	26	6	47	84	24
14104	FASN	1	0	8	51	5	79	2	93	0	57	0	0	91	8	79	7	85	159	70	0	6	81	5	65	5	17	10	22	8	55	48	2	11	12	1	20	105	12	0	11	1	7	3	24	32	87	56	93	47	70	13	3	85	4	47	5	28	13	76	60
110196	FDPS	3	4	5	39	5	106	1	81	18	44	4	41	57	5	71	0	52	61	124	1	3	97	29	79	10	3	58	1	2	126	40	6	20	16	6	15	89	34	0	28	37	12	0	7	8	57	48	5	25	99	25	5	115	0	25	14	56	11	95	40
319554	IDI1	5	2	1	34	1	46	5	89	42	63	4	4	106	98	60	37	99	57	86	0	0	65	53	107	3	65	19	5	22	81	16	7	26	18	3	70	77	0	0	119	26	5	0	7	16	85	2	3	4	54	18	7	82	8	29	55	19	16	63	8
70025	ACOT7	4	0	1	2	3	62	1	68	3	75	3	5	65	18	73	9	107	81	71	6	3	88	35	104	5	0	46	16	13	36	33	6	95	12	3	17	92	35	1	25	24	10	5	6	3	37	2	86	16	72	34	1	64	4	33	31	25	0	85	5
12257	TSPO	0	0	4	23	4	119	2	87	36	61	0	2	71	31	66	1	87	57	106	2	3	122	4	100	10	3	18	56	7	104	13	9	30	12	5	17	75	84	4	5	64	51	0	96	7	2	75	70	6	94	9	2	67	2	21	5	38	9	80	19
52123	AGPAT5	1	0	4	29	6	39	3	95	78	98	2	7	79	16	64	9	57	57	68	0	1	70	28	118	6	14	10	26	76	49	2	2	7	24	1	10	38	0	2	32	22	14	2	45	7	7	10	58	18	66	28	7	108	2	20	33	28	44	86	16
13167	DBI	0	2	8	6	0	118	3	83	5	83	2	60	84	17	49	2	39	63	56	3	0	84	45	96	0	22	26	22	1	77	0	3	23	10	3	34	72	9	2	38	101	46	4	33	20	9	3	30	128	77	82	1	43	1	72	6	9	59	92	2
20280	SCP2	10	0	2	51	0	37	2	84	48	79	4	5	88	29	73	14	141	93	81	0	7	80	19	125	1	22	33	13	17	92	37	1	48	61	6	3	60	3	3	5	20	7	0	16	40	1	29	30	32	62	83	1	62	2	2	46	27	24	53	5
17117	AMACR	6	1	7	23	2	55	1	92	21	105	2	50	59	5	80	20	44	72	86	7	0	70	9	68	7	50	3	7	8	60	74	6	0	48	0	42	109	39	0	66	3	13	1	46	32	51	27	7	15	79	20	1	86	2	4	18	7	51	82	0
233801	ACSM4	3	5	0	43	10	103	3	59	118	113	2	8	63	9	114	6	64	83	94	0	2	102	42	102	1	7	25	2	9	97	2	5	39	31	7	3	70	5	0	15	67	18	0	7	4	30	32	73	13	116	61	0	75	5	161	40	15	20	145	2
66826	TAZ	2	12	0	8	4	85	3	39	3	63	3	8	83	13	62	18	78	78	51	6	2	96	110	66	2	15	1	4	13	40	19	3	33	76	11	4	76	135	2	3	7	0	0	15	0	1	11	40	22	78	21	1	102	5	30	26	38	11	110	3
329910	ACOT11	5	2	1	29	6	68	3	54	38	38	3	0	97	19	97	0	72	110	56	2	1	133	3	63	1	42	7	12	22	50	10	2	7	49	2	35	76	16	9	29	4	19	7	15	20	19	2	37	7	62	6	3	79	5	15	9	2	72	48	10
14732	GPAM	0	6	0	44	3	54	1	126	29	81	1	1	82	22	99	106	74	86	83	9	3	83	45	86	0	16	14	47	6	108	71	1	116	35	7	38	86	4	2	65	0	10	1	35	14	1	12	37	22	86	117	2	99	4	17	9	1	41	60	24
68262	AGPAT4	3	0	1	26	3	48	10	66	45	48	8	35	92	5	30	3	78	77	74	5	6	89	161	93	3	17	26	6	0	53	0	3	35	84	7	84	91	45	2	3	57	21	8	4	28	43	12	6	33	62	38	1	65	4	56	35	16	30	92	19
66198	THEM5	1	0	2	27	1	113	5	74	2	55	6	1	99	21	80	6	88	76	63	1	1	115	42	75	5	34	0	32	0	82	54	3	48	13	3	16	85	23	0	45	86	6	1	34	1	8	17	7	67	83	44	0	71	4	3	33	4	15	88	66
194908	PLD6	2	7	6	4	4	129	6	75	9	107	0	0	74	22	111	28	70	104	90	0	6	62	3	113	0	52	111	29	12	63	84	4	24	35	1	7	122	35	2	36	24	9	1	26	57	13	10	84	52	79	78	1	55	0	28	12	28	16	66	55
70310	PLSCR3	4	5	10	90	3	61	9	56	82	76	6	30	41	1	77	90	91	73	98	0	8	97	44	90	0	16	4	5	41	101	21	2	28	22	5	0	59	2	2	15	10	31	2	15	10	33	12	60	8	78	40	7	50	2	30	14	6	111	82	6
215456	GPAT2	3	3	3	62	2	91	4	79	10	64	1	25	76	9	61	68	49	65	99	0	3	62	20	42	1	16	4	2	66	62	0	1	24	13	4	20	97	64	3	150	7	2	3	20	27	30	92	13	107	38	29	21	82	3	18	42	13	36	88	1
109729085	HTD2	3	4	5	95	3	68	0	47	1	126	7	4	49	105	47	7	63	55	90	3	7	75	3	93	4	49	18	42	9	41	11	1	122	0	0	14	68	64	0	26	84	19	1	10	5	45	22	8	0	54	82	8	73	0	10	39	12	25	53	72
